subject,item,condition,ID,ffd,sfd,gzd,tvt,gpt,skp,rgi,rgo,exp,wordtype,wordtype3,target.freq,relative.freq,word.freq,pred.raw,pred.split,divergence
1,142,1,142.1,245,245,245,245,424,1,0,1,SCA,Target,2,L,T,L,0.8,high,161.5
1,143,2,143.2,NA,NA,NA,145,NA,0,1,0,SCA,Homophone,1,L,H,H,0.1,low,161.5
1,145,1,145.1,NA,NA,NA,115,NA,0,1,0,SCA,Target,2,H,T,H,0.4,high,161.5
1,146,2,146.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,H,L,L,0.3,low,161.5
1,147,3,147.3,258,258,258,258,258,1,0,0,SCA,Ortho_control,3,H,L,L,0.4,high,161.5
1,148,1,148.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0.4,high,161.5
1,149,2,149.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,H,L,0.4,high,161.5
1,150,3,150.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,H,H,0,low,161.5
1,151,1,151.1,245,245,245,245,245,1,0,0,SCA,Target,2,L,T,L,0,low,161.5
1,152,2,152.2,NA,NA,NA,174,NA,0,1,0,SCA,Homophone,1,L,L,L,0,low,161.5
1,153,3,153.3,346,346,346,346,346,1,0,0,SCA,Ortho_control,3,L,L,L,0.1,low,161.5
1,154,1,154.1,201,201,201,201,201,1,0,0,SCA,Target,2,L,T,L,1,high,161.5
1,155,2,155.2,456,456,456,456,456,1,0,0,SCA,Homophone,1,L,H,H,1,high,161.5
1,156,3,156.3,236,NA,236,502,678,1,0,1,SCA,Ortho_control,3,L,H,H,0.4,high,161.5
1,157,1,157.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.4,high,161.5
1,158,2,158.2,208,208,208,208,208,1,0,0,SCA,Homophone,1,H,L,H,0.8,high,161.5
1,159,3,159.3,223,223,223,223,223,1,0,0,SCA,Ortho_control,3,H,L,L,0.3,low,161.5
1,160,1,160.1,143,NA,583,583,583,1,0,0,SCA,Target,2,L,T,L,0.2,low,161.5
1,161,2,161.2,208,208,208,208,208,1,0,0,SCA,Homophone,1,L,H,L,0.4,high,161.5
1,162,3,162.3,144,144,144,144,144,1,0,0,SCA,Ortho_control,3,L,H,H,0,low,161.5
1,163,1,163.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.4,high,161.5
1,164,2,164.2,NA,NA,NA,179,NA,0,1,0,SCA,Homophone,1,H,L,H,0.2,low,161.5
1,165,3,165.3,203,203,203,203,492,1,0,1,SCA,Ortho_control,3,H,L,H,0,low,161.5
1,166,1,166.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.8,high,161.5
1,167,2,167.2,237,237,237,237,419,1,0,1,SCA,Homophone,1,H,L,H,0.1,low,161.5
1,168,3,168.3,NA,NA,NA,173,NA,0,1,0,SCA,Ortho_control,3,H,L,H,0,low,161.5
2,2,2,2.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,H,H,0,low,136.5
2,3,3,3.3,187,NA,372,762,372,1,1,0,SCA,Ortho_control,3,L,H,L,0,low,136.5
2,4,1,4.1,178,178,178,178,178,1,0,0,SCA,Target,2,H,T,H,0.1,low,136.5
2,5,2,5.2,175,175,175,410,175,1,1,0,SCA,Homophone,1,H,L,L,0.6,high,136.5
2,6,3,6.3,213,213,213,213,213,1,0,0,SCA,Ortho_control,3,H,L,L,0.6,high,136.5
2,7,1,7.1,265,265,265,265,265,1,0,0,SCA,Target,2,H,T,H,0.3,low,136.5
2,8,2,8.2,373,373,373,373,373,1,0,0,SCA,Homophone,1,H,H,H,0,low,136.5
2,9,3,9.3,246,246,246,246,246,1,0,0,SCA,Ortho_control,3,H,H,H,0.2,low,136.5
2,10,1,10.1,167,NA,278,278,278,1,0,0,SCA,Target,2,L,T,L,0.2,low,136.5
2,11,2,11.2,270,270,270,270,270,1,0,0,SCA,Homophone,1,L,H,H,0.3,low,136.5
2,12,3,12.3,214,NA,398,398,398,1,0,0,SCA,Ortho_control,3,L,H,H,0,low,136.5
2,13,1,13.1,225,225,225,225,225,1,0,0,SCA,Target,2,H,T,H,0.3,low,136.5
2,14,2,14.2,427,427,427,427,427,1,0,0,SCA,Homophone,1,H,L,L,1,high,136.5
2,15,3,15.3,249,NA,718,718,718,1,0,0,SCA,Ortho_control,3,H,L,L,0.7,high,136.5
2,16,1,16.1,252,252,252,252,252,1,0,0,SCA,Target,2,H,T,L,0.9,high,136.5
2,17,2,17.2,175,NA,524,524,524,1,0,0,SCA,Homophone,1,H,H,H,0.8,high,136.5
2,18,3,18.3,232,NA,587,587,587,1,0,0,SCA,Ortho_control,3,H,H,H,0.8,high,136.5
2,19,1,19.1,199,199,199,199,199,1,0,0,SCA,Target,2,H,T,H,1,high,136.5
2,20,2,20.2,188,188,188,188,188,1,0,0,SCA,Homophone,1,H,L,L,1,high,136.5
2,21,3,21.3,375,375,375,375,375,1,0,0,SCA,Ortho_control,3,H,H,H,0.7,high,136.5
2,22,1,22.1,207,207,207,207,207,1,0,0,SCA,Target,2,L,T,L,0.5,high,136.5
2,23,2,23.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,H,H,0.3,low,136.5
2,24,3,24.3,305,305,305,464,305,1,0,0,SCA,Ortho_control,3,L,H,H,0.2,low,136.5
2,25,1,25.1,243,243,243,243,243,1,0,0,SCA,Target,2,H,T,H,0,low,136.5
2,26,2,26.2,NA,NA,NA,183,NA,0,1,0,SCA,Homophone,1,H,L,L,0,low,136.5
2,27,3,27.3,176,NA,176,439,666,1,0,1,SCA,Ortho_control,3,H,H,H,0,low,136.5
2,28,1,28.1,177,177,177,177,177,1,0,0,SCA,Target,2,L,T,L,0.1,low,136.5
2,29,2,29.2,437,437,437,437,437,1,0,0,SCA,Homophone,1,L,H,L,0,low,136.5
2,30,3,30.3,165,165,165,165,165,1,0,0,SCA,Ortho_control,3,L,H,L,0,low,136.5
2,31,1,31.1,270,270,270,270,270,1,0,0,SCA,Target,2,H,T,H,0.6,high,136.5
2,32,2,32.2,300,300,300,300,300,1,0,0,SCA,Homophone,1,H,L,L,0.1,low,136.5
2,33,3,33.3,305,NA,556,556,556,1,0,0,SCA,Ortho_control,3,H,L,H,0.9,high,136.5
